institute,gcm,experiment,ensemble,rcm_name,variable,institute_rcm
SMHI,ICHEC-EC-EARTH,rcp45,r12i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp45,r12i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp45,r12i1p1,RCA4,tas,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r12i1p1,RCA4,tas,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r12i1p1,RCA4,pr,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp45,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp45,r12i1p1,RCA4,pr,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp45,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp45,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp45,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp45,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp45,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,tas,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp26,r12i1p1,RCA4,pr,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,MOHC-HadGEM2-ES,rcp85,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp45,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r12i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r12i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp45,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp45,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,tas,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,tas,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r12i1p1,RCA4,pr,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RCA4,tasmax,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RCA4,tasmin,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RCA4,tas,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r1i1p1,RCA4,pr,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,tasmax,SMHI-RCA4
