institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
CNRM,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,ALADIN63,v2,orog,CNRM-ALADIN63
RMIB-UGent,ECMWF-ERAINT,evaluation,r1i1p1,ALARO-0,v1,orog,RMIB-UGent-ALARO-0
CLMcom,CNRM-CERFACS-CNRM-CM5,historical,r0i0p0,CCLM4-8-17,v1,orog,CLMcom-CCLM4-8-17
CLMcom-ETH,ECMWF-ERAINT,evaluation,r0i0p0,COSMO-crCLIM-v1-1,v1,orog,CLMcom-ETH-COSMO-crCLIM-v1-1
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,orog,DMI-HIRHAM5
MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,orog,MOHC-HadREM3-GA7-05
KNMI,ICHEC-EC-EARTH,rcp45,r1i1p1,RACMO22E,v1,orog,KNMI-RACMO22E
SMHI,MPI-M-MPI-ESM-LR,rcp26,r0i0p0,RCA4,v1a,orog,SMHI-RCA4
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r0i0p0,REMO2009,v1,orog,MPI-CSC-REMO2009
GERICS,IPSL-IPSL-CM5A-LR,rcp26,r0i0p0,REMO2015,v1,orog,GERICS-REMO2015
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,orog,ICTP-RegCM4-6
