institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,tasmax,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,tasmin,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,tasmin,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,tasmax,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,tas,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,tas,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,pr,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,pr,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RCA4,v1a,pr,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RCA4,v1a,tasmax,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RCA4,v1a,tasmin,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,RCA4,v1a,tas,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,tasmax,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,tasmin,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,tas,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,pr,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,pr,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,tasmax,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,tasmin,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,tas,SMHI-RCA4
