institute,driving_model,experiment,ensemble,rcm_name,rcm_version,time_frequency,variable
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,tas
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,day,pr
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,day,tasmax
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,day,tasmin
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,day,tas
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,day,tasmax
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,day,tasmin
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,day,tas
KNMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,RACMO22E,v2,day,pr
KNMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,RACMO22E,v2,day,tasmax
KNMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,RACMO22E,v2,day,tasmin
KNMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,RACMO22E,v2,day,tas
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,day,pr
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,day,pr
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,day,pr
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,day,tasmax
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,day,tasmin
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,day,tas
KNMI,ICHEC-EC-EARTH,rcp26,r12i1p1,RACMO22E,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,rcp26,r12i1p1,RACMO22E,v1,day,pr
KNMI,ICHEC-EC-EARTH,rcp26,r12i1p1,RACMO22E,v1,day,tas
KNMI,ICHEC-EC-EARTH,rcp26,r12i1p1,RACMO22E,v1,day,tasmin
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,day,tasmin
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,day,pr
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,day,tas
CLMcom,ICHEC-EC-EARTH,rcp26,r12i1p1,CCLM4-8-17,v1,day,tasmax
CLMcom,ICHEC-EC-EARTH,rcp26,r12i1p1,CCLM4-8-17,v1,day,pr
CLMcom,ICHEC-EC-EARTH,rcp26,r12i1p1,CCLM4-8-17,v1,day,tasmin
CLMcom,ICHEC-EC-EARTH,rcp26,r12i1p1,CCLM4-8-17,v1,day,tas
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,day,tasmin
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,day,tas
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,day,pr
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,rcp45,r12i1p1,RACMO22E,v1,day,tas
KNMI,ICHEC-EC-EARTH,rcp45,r12i1p1,RACMO22E,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,rcp45,r12i1p1,RACMO22E,v1,day,pr
KNMI,ICHEC-EC-EARTH,rcp45,r12i1p1,RACMO22E,v1,day,tasmin
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,day,tasmax
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,day,tasmax
GERICS,MIROC-MIROC5,rcp26,r1i1p1,REMO2015,v1,day,tas
GERICS,MOHC-HadGEM2-ES,rcp26,r1i1p1,REMO2015,v1,day,tasmin
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,day,tas
GERICS,IPSL-IPSL-CM5A-LR,rcp26,r1i1p1,REMO2015,v1,day,tas
GERICS,MIROC-MIROC5,rcp26,r1i1p1,REMO2015,v1,day,tasmax
GERICS,ICHEC-EC-EARTH,rcp26,r12i1p1,REMO2015,v1,day,pr
