institute,gcm,experiment,ensemble,rcm_name,rcm_version,variable,institute_rcm
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r2i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r2i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r2i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r2i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r1i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r1i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,historical,r2i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r2i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r2i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r2i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp26,r2i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp45,r1i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
