institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
SMHI,ECMWF-ERAINT,evaluation,r1i1p1,RCA4,v1,pr,SMHI-RCA4
SMHI,ECMWF-ERAINT,evaluation,r1i1p1,RCA4,v1,tasmax,SMHI-RCA4
SMHI,ECMWF-ERAINT,evaluation,r1i1p1,RCA4,v1,tasmin,SMHI-RCA4
SMHI,ECMWF-ERAINT,evaluation,r1i1p1,RCA4,v1,tas,SMHI-RCA4
ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-6,v1,tas,ICTP-RegCM4-6
ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-6,v1,tasmax,ICTP-RegCM4-6
ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-6,v1,tasmin,ICTP-RegCM4-6
ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-6,v1,pr,ICTP-RegCM4-6
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,tasmax,DMI-HIRHAM5
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,tasmin,DMI-HIRHAM5
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,tas,DMI-HIRHAM5
DMI,ECMWF-ERAINT,evaluation,r1i1p1,HIRHAM5,v1,pr,DMI-HIRHAM5
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,tasmax,CLMcom-CCLM4-8-17
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,tasmin,CLMcom-CCLM4-8-17
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,tas,CLMcom-CCLM4-8-17
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,tasmax,KNMI-RACMO22E
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,tasmin,KNMI-RACMO22E
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,tas,KNMI-RACMO22E
CLMcom,ECMWF-ERAINT,evaluation,r1i1p1,CCLM4-8-17,v1,pr,CLMcom-CCLM4-8-17
KNMI,ECMWF-ERAINT,evaluation,r1i1p1,RACMO22E,v1,pr,KNMI-RACMO22E
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,pr,MPI-CSC-REMO2009
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,tasmax,MPI-CSC-REMO2009
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,tasmin,MPI-CSC-REMO2009
MPI-CSC,ECMWF-ERAINT,evaluation,r1i1p1,REMO2009,v1,tas,MPI-CSC-REMO2009
DHMZ,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-2,v1,pr,DHMZ-RegCM4-2
DHMZ,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-2,v1,tasmax,DHMZ-RegCM4-2
DHMZ,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-2,v1,tasmin,DHMZ-RegCM4-2
DHMZ,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-2,v1,tas,DHMZ-RegCM4-2
RMIB-UGent,ECMWF-ERAINT,evaluation,r1i1p1,ALARO-0,v1,pr,RMIB-UGent-ALARO-0
RMIB-UGent,ECMWF-ERAINT,evaluation,r1i1p1,ALARO-0,v1,tas,RMIB-UGent-ALARO-0
GERICS,ECMWF-ERAINT,evaluation,r1i1p1,REMO2015,v1,tasmin,GERICS-REMO2015
GERICS,ECMWF-ERAINT,evaluation,r1i1p1,REMO2015,v1,tas,GERICS-REMO2015
GERICS,ECMWF-ERAINT,evaluation,r1i1p1,REMO2015,v1,pr,GERICS-REMO2015
GERICS,ECMWF-ERAINT,evaluation,r1i1p1,REMO2015,v1,tasmax,GERICS-REMO2015
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,tasmax,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,tasmin,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,pr,CLMcom-ETH-COSMO-crCLIM-v1-1
CLMcom-ETH,ECMWF-ERAINT,evaluation,r1i1p1,COSMO-crCLIM-v1-1,v1,tas,CLMcom-ETH-COSMO-crCLIM-v1-1
MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,pr,MOHC-HadREM3-GA7-05
MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,tas,MOHC-HadREM3-GA7-05
MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,tasmax,MOHC-HadREM3-GA7-05
MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,tasmin,MOHC-HadREM3-GA7-05
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,tasmin,CNRM-ALADIN53
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,pr,CNRM-ALADIN53
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,tasmax,CNRM-ALADIN53
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,tas,CNRM-ALADIN53
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN63,v1,pr,CNRM-ALADIN63
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN63,v1,tasmax,CNRM-ALADIN63
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN63,v1,tasmin,CNRM-ALADIN63
CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN63,v1,tas,CNRM-ALADIN63
IPSL,ECMWF-ERAINT,evaluation,r1i1p1,WRF381P,v1,pr,IPSL-WRF381P
IPSL,ECMWF-ERAINT,evaluation,r1i1p1,WRF381P,v1,tasmin,IPSL-WRF381P
IPSL,ECMWF-ERAINT,evaluation,r1i1p1,WRF381P,v1,tasmax,IPSL-WRF381P
IPSL,ECMWF-ERAINT,evaluation,r1i1p1,WRF381P,v1,tas,IPSL-WRF381P
