institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r2i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,NCC-NorESM1-M,rcp85,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,NCC-NorESM1-M,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,rcp85,r1i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,ICHEC-EC-EARTH,historical,r1i1p1,RCA4,v1,snc,SMHI-RCA4
ICTP,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RegCM4-6,v2,snw,ICTP-RegCM4-6
ICTP,NCC-NorESM1-M,historical,r1i1p1,RegCM4-6,v1,snw,ICTP-RegCM4-6
ICTP,MPI-M-MPI-ESM-LR,historical,r1i1p1,RegCM4-6,v1,snw,ICTP-RegCM4-6
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,snw,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,historical,r3i1p1,RCA4,v1,snc,SMHI-RCA4
SMHI,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,RCA4,v1,snw,SMHI-RCA4
